channel,energy_ev,score,prominence,d2_real,d2_imag,eps1,eps2,cp_energy_ev,gamma_ev,amp_real,amp_imag,c0_real,c0_imag,c1_real,c1_imag,rms,success,nfev,window_ev,exponent
parallel_minus_perp,2.7960369372835707,135.46839159425147,125.17241094012131,133.75976690071894,21.447840912287525,-0.2279891433180157,-0.18058112518898908,2.7517289711267905,0.16030062997578146,-1.2064241759778587,-1.4814471007241656,-6.122532567081255,-18.468338362149996,60.334057260904025,-20.484361424379724,52.17450265056119,True,12,0.2,2.0
parallel_minus_perp,2.9592535590611773,119.45496656972783,112.6460208520446,-119.39586986029828,-3.757033201544664,0.16992149532997453,-0.05788158227420873,2.8592535590611776,0.15660066320987498,1.0078806404708758,-0.4193052955421767,16.024467695760833,10.984795280837437,-70.80168111948512,-1.945491884555146,50.924216561482396,True,21,0.2,2.0
parallel_minus_perp,3.0874951904578682,86.06382542839431,83.2450036637237,84.91318984369278,14.02612697568794,0.1386359663263043,0.028957416872631755,3.0949281632449335,0.03807303534772694,-0.02550271737215575,-0.01872463526874296,-5.353095078277667,-3.2312833042825133,52.678086546545,-10.248193362175563,42.207769255342924,True,21,0.2,2.0
parallel_minus_perp,3.266256252404771,93.45785177458342,88.11348388627478,86.03030725571192,36.51241284560368,0.13932026660844227,0.09528550602898929,3.1662562524094082,0.19999999771254265,0.5652563857639903,-0.1777646546776015,14.213930405022744,-3.586731908349713,-50.15688487575171,48.868282851616115,37.9463576749938,True,16,0.2,2.0
parallel_minus_perp,3.38283955367449,93.8745719529677,93.32964568630386,86.43952837329714,36.61479474140021,0.11239207055653488,0.11241911902702537,3.383197274710175,0.008898772169237705,-0.003772709577149223,-0.0024648892824533975,0.2991824990826621,-0.15689418519635617,7.624291504901813,-0.7571398400162449,30.245194110764693,True,23,0.2,2.0
parallel_minus_perp,3.5674297806848787,69.9056545149315,68.36997446382833,65.52122434123926,24.367389970736667,0.10444797469015328,0.14355675062731163,3.4674297806882586,0.19999999964514742,0.4095825707938081,-0.19003828241297674,9.142753844015116,-2.6846866034577417,-27.64394080533693,33.07167867501122,25.16385845089835,True,14,0.2,2.0
perp,0.753886110042324,192.24247266957246,94.6394963259854,125.02474468628216,146.03417926718825,11.893466352016128,0.9060661700126073,0.8538861100423238,0.12191717052208922,1.00103684341083,1.271631418094638,64.47177772221238,123.31343625995382,-1431.5108747728088,265.1322062687169,37.700003742703245,True,29,0.2,2.0
perp,0.8471527510580993,85.80354992449396,45.4093059956396,54.5169548627731,-66.25821316739147,12.160166601344738,0.626425927847888,0.9471527510580992,0.03978334956256374,0.11156074712913643,-0.21897721407341889,0.2931142241760501,-34.32353674896031,-166.77760745566673,-918.8837080360516,75.90418140132698,True,55,0.2,2.0
perp,1.000654097729896,227.44964849076834,71.72709850148593,-98.80716267753088,-204.86699881188778,12.671953363666418,1.2152006482114355,1.0727488541786736,0.06786581738769147,-1.2961643101753089,-0.14523215981107765,-74.24790512014785,0.8611679356356996,-422.95560882246804,-426.81765243198305,77.29380382416032,True,33,0.2,2.0
perp,1.1250096190842631,237.046722482654,176.51296854629018,-58.88680140804797,229.61596908685925,13.006165811022173,1.1661834604098666,1.1068552323034413,0.07128073799817738,-0.6262992097287354,-1.499356449521682,-30.646244548046436,-51.322787236199865,799.8570622386999,-522.5593217982577,101.60677209452638,True,9,0.2,2.0
